container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
Australian Journal of Botany,2010-02-08,2018-11-22,2009,10.1071/bt09013,2022-06-29,0067-1924,8,2009,640,CSIRO Publishing,Crossref,"Plant Science,Ecology, Evolution, Behavior and Systematics",Consistency in seed-deposition patterns and the distribution of mistletoes among its host trees in an Amazonian savanna,journal-article,http://dx.doi.org/10.1071/bt09013,Aust. J. Bot.,en
Gaia Scientia,2018-05-03,2018-08-02,NA,10.21707/gs.v10.n04a20,2022-04-02,1981-1268,4,2016,252-261,Portal de Periodicos UFPB,Crossref,General Medicine,"Biologia reprodutiva, visitantes florais e dispersão de Ocotea duckei Vattimo-Gil (Lauraceae) na Reserva Biológica Guaribas, Paraíba, Brasil",journal-article,http://dx.doi.org/10.21707/gs.v10.n04a20,Gaia Sci.,NA
Historical Biology,2014-09-29,2019-08-15,2016-04-02,10.1080/08912963.2014.954569,2022-04-06,"0891-2963,1029-2381",3,2014-09-29,398-414,Informa UK Limited,Crossref,General Agricultural and Biological Sciences,Digital reconstruction of Rodrigues Solitaire (<i>Pezophaps solitaria</i>) (Aves: Columbidae) physical appearance based on early descriptive observation and other evidence,journal-article,http://dx.doi.org/10.1080/08912963.2014.954569,Historical Biology,en
"Brain, Behavior and Evolution",2003-04-15,2022-06-15,2000,10.1159/000006680,2023-01-30,"0006-8977,1421-9743",2,2000,94-106,S. Karger AG,Crossref,"Behavioral Neuroscience,Developmental Neuroscience",Exploitation of an Ancient Escape Circuit by an Avian Predator: Prey Sensitivity to Model Predator Display in the Field,journal-article,http://dx.doi.org/10.1159/000006680,Brain Behav Evol,en
Behavioral Ecology,2002-07-26,2017-08-22,1999-01-01,10.1093/beheco/10.1.7,2022-12-07,1465-7279,1,1999-01-01,7-14,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",A rare predator exploits prey escape behavior: the role of tail-fanning and plumage contrast in foraging of the painted redstart (Myioborus pictus),journal-article,http://dx.doi.org/10.1093/beheco/10.1.7,NA,NA
"Brain, Behavior and Evolution",2003-04-15,2022-06-15,2001,10.1159/000057565,2023-02-05,"0006-8977,1421-9743",4,2001,218-240,S. Karger AG,Crossref,"Behavioral Neuroscience,Developmental Neuroscience",Exploitation of an Ancient Escape Circuit by an Avian Predator: Relationships between Taxon-Specific Prey Escape Circuits and the Sensitivity to Visual Cues from the Predator,journal-article,http://dx.doi.org/10.1159/000057565,Brain Behav Evol,en
Proceedings of the Royal Society of London. Series B: Biological Sciences,2002-07-26,2019-07-18,2001-05-22,10.1098/rspb.2001.1623,2022-11-25,"0962-8452,1471-2954",1471,2001-05-22,1017-1022,The Royal Society,Crossref,"General Agricultural and Biological Sciences,General Environmental Science,General Immunology and Microbiology,General Biochemistry, Genetics and Molecular Biology,General Medicine",Sensory exploitation of prey: manipulation of the initial direction of prey escapes by a conspicuous 'rare enemy',journal-article,http://dx.doi.org/10.1098/rspb.2001.1623,Proc. R. Soc. Lond. B,en
Behavioral Ecology,2006-08-23,2021-07-31,2006-11,10.1093/beheco/arl039,2022-12-07,"1465-7279,1045-2249",6,2006-08-22,925-932,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Innate plasticity of a predatory behavior: nonlearned context dependence of avian flush-displays,journal-article,http://dx.doi.org/10.1093/beheco/arl039,NA,en
Behaviour,2006-02-19,2021-09-14,2006,10.1163/156853906775897860,2022-12-07,"0005-7959,1568-539X",3,2006,303-324,Brill,Crossref,"Behavioral Neuroscience,Animal Science and Zoology","Effects of visual stimuli, substrate-borne vibrations and air current stimuli on escape reactions in insect prey of flush-pursuing birds and their implications for evolution of flush-pursuers",journal-article,http://dx.doi.org/10.1163/156853906775897860,Behav,NA
Ethology,2005-03-29,2021-07-06,2005-04,10.1111/j.1439-0310.2004.01059.x,2022-04-12,"0179-1613,1439-0310",4,2005-04,381-396,Wiley,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Prey Escape Direction is Influenced by the Pivoting Displays of Flush-Pursuing Birds,journal-article,http://dx.doi.org/10.1111/j.1439-0310.2004.01059.x,Ethology,en
The Auk,2019-09-06,2022-09-27,2002-10-01,10.1093/auk/119.4.1024,2022-09-28,"1938-4254,0004-8038",4,2002-10-01,1024-1035,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Scare Tactics in a Neotropical Warbler: White Tail Feathers Enhance Flush–Pursuit Foraging Performance in the Slate-Throated Redstart (Myioborus Miniatus),journal-article,http://dx.doi.org/10.1093/auk/119.4.1024,NA,en
The Condor,2019-09-06,2021-01-18,2002-08-01,10.1093/condor/104.3.657,2022-12-07,"0010-5422,1938-5129",3,2002-08-01,657-661,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Searching for Conspicuous Versus Cryptic Prey: Search Rates of Flush-Pursuing Versus Substrate-Gleaning Birds,journal-article,http://dx.doi.org/10.1093/condor/104.3.657,NA,en
The Open Ornithology Journal,2018-04-11,2019-10-15,2018-03-30,10.2174/1874453201811010034,2022-04-02,1874-4532,1,2018-03-30,34-38,Bentham Science Publishers Ltd.,Crossref,Animal Science and Zoology,Painted Redstarts (Myioborus Pictus) Attack Larger Prey when Using Flush-Pursue Strategy,journal-article,http://dx.doi.org/10.2174/1874453201811010034,TOOENIJ,en
Ornitología Neotropical,2023-02-09,2023-02-09,NA,10.58843/ornneo.v33i1.965,2023-02-10,"1075-4377,1075-4377",1,2022-02-09,29-32,Neotropical Ornithological Society,Crossref,NA,"DESCRIPCIÓN DEL NIDO Y HUEVOS DEL PICOGUADAÑA PIQUIPARDO (CAMPYLORHAMPHUS PUSILLUS) EN LA CORDILLERA DEL CÓNDOR, SURESTE DE ECUADOR",journal-article,http://dx.doi.org/10.58843/ornneo.v33i1.965,Ornitol. Neotrop.,NA
Frontiers in Microbiology,2023-02-02,2023-02-02,NA,10.3389/fmicb.2022.1075041,2023-02-03,1664-302X,NA,2023-02-02,NA,Frontiers Media SA,Crossref,"Microbiology (medical),Microbiology",Analysis of microbial diversity in the feces of Arborophila rufipectus,journal-article,http://dx.doi.org/10.3389/fmicb.2022.1075041,Front. Microbiol.,NA
Western Birds,2023-02-03,2023-02-03,2023-02-01,10.21199/wb54.1.1,2023-02-04,0045-3897,1,2023-02-01,2-18,Western Field Ornithologists,Crossref,"Pulmonary and Respiratory Medicine,Pediatrics, Perinatology and Child Health","Effectiveness of Public–Private Efforts to Conserve Tricolored Blackbird Colonies on Agricultural Lands in the San Joaquin Valley, California",journal-article,http://dx.doi.org/10.21199/wb54.1.1,WBirds,NA
Western Birds,2023-02-03,2023-02-03,2023-02-01,10.21199/wb54.1.2,2023-02-04,0045-3897,1,2023-02-01,19-31,Western Field Ornithologists,Crossref,"Pulmonary and Respiratory Medicine,Pediatrics, Perinatology and Child Health","Foraging Habitat and Its Effects on the Tricolored Blackbird’s Breeding Distribution and Abundance in the Sierra Nevada Foothills, California",journal-article,http://dx.doi.org/10.21199/wb54.1.2,WBirds,NA
Ornitología Neotropical,2023-02-09,2023-02-09,NA,10.58843/ornneo.v33i1.999,2023-02-10,"1075-4377,1075-4377",1,2022-02-09,13-20,Neotropical Ornithological Society,Crossref,NA,"BIOLOGY OF TUMBESIAN TERRESTRIAL BIRDS,  WITH COMMENTS ON REGIONAL AVIAN CONSERVATION",journal-article,http://dx.doi.org/10.58843/ornneo.v33i1.999,Ornitol. Neotrop.,NA
Therya,2013-05-06,2013-05-06,NA,10.12933/therya-11-49,2022-10-23,2007-3364,3,2011-12-30,217-244,Asociacion Mexicana de Mastozoologia,Crossref,Animal Science and Zoology,"Impacto de la ganadería extensiva y cacería de subsistencia sobre la abundancia relativa de mamíferos en la Selva Zoque, Oaxaca, México",journal-article,http://dx.doi.org/10.12933/therya-11-49,Therya,NA
Huitzil Revista Mexicana de Ornitología,2022-09-29,2022-09-29,NA,10.28947/hrmo.2008.9.2.77,2022-09-30,1870-7459,2,2022-09-29,32-34,Sociedad para el Estudio y Conservacion de las Aves en Mexico A.C.,Crossref,"Energy Engineering and Power Technology,Fuel Technology",Primer reporte de nidos depredados por la chachalaca vetula (Ortalis vetula),journal-article,http://dx.doi.org/10.28947/hrmo.2008.9.2.77,Huitzil Rev. Mex. Ornitol.,NA
CRC Handbook of Census Methods for Terrestrial Vertebrates,2021-04-29,2021-05-19,2021-05-19,10.1201/9781003210320-25,2022-03-29,NA,NA,2021-05-19,57-58,CRC Press,Crossref,NA,Plain Chachalaca,book-chapter,http://dx.doi.org/10.1201/9781003210320-25,NA,NA
The American Naturalist,2002-07-26,2018-04-07,1998-05,10.1086/286128,2023-02-05,"0003-0147,1537-5323",5,1998-05,397-408,University of Chicago Press,Crossref,"Ecology, Evolution, Behavior and Systematics","Cooperation, Conflict, and Crèching Behavior in Goldeneye Ducks",journal-article,http://dx.doi.org/10.1086/286128,The American Naturalist,en
Molecular Ecology,2009-05-20,2021-10-06,2009-06,10.1111/j.1365-294x.2009.04223.x,2022-07-20,"0962-1083,1365-294X",12,2009-06,2713-2721,Wiley,Crossref,"Genetics,Ecology, Evolution, Behavior and Systematics",Relatedness and spatial proximity as determinants of host-parasite interactions in the brood parasitic Barrow's goldeneye (<i>Bucephala islandica</i>),journal-article,http://dx.doi.org/10.1111/j.1365-294x.2009.04223.x,NA,en
Waterbirds,2006-07-21,2019-04-20,2006-03,10.1675/1524-4695(2006)29[115:eobrof]2.0.co;2,2023-01-26,"1524-4695,1938-5390",1,2006-03,115-120,Waterbird Society,Crossref,Animal Science and Zoology,Effects of Backpack Radio-Transmitters on Female Barrow’s Goldeneyes,journal-article,http://dx.doi.org/10.1675/1524-4695(2006)29[115:eobrof]2.0.co;2,Waterbirds,en
Annales Zoologici Fennici,2012-10-19,2017-06-21,2009-10,10.5735/086.046.0502,2022-04-03,"0003-455X,1797-2450",5,2009-10,350-360,Finnish Zoological and Botanical Publishing Board,Crossref,"Nature and Landscape Conservation,Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics","Clutch Desertion in Barrow's Goldeneyes (<i>Bucephala islandica</i>) — Effects of Non-Natal Eggs, the Environment and Host Female Characteristics",journal-article,http://dx.doi.org/10.5735/086.046.0502,Annales Zoologici Fennici,en
Journal of Wildlife Management,2006-04-04,2019-03-23,2005-07,10.2193/0022-541x(2005)069[1221:tnatri]2.0.co;2,2023-01-14,"0022-541X,1937-2817",3,2005-07,1221-1228,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",TRACING NUTRIENT ALLOCATION TO REPRODUCTION IN BARROW'S GOLDENEYE,journal-article,http://dx.doi.org/10.2193/0022-541x(2005)069[1221:tnatri]2.0.co;2,Journal of Wildlife Management,en
The Wilson Bulletin,2006-07-18,2011-03-16,2000-03,10.1676/0043-5643(2000)112[0001:tbrotb]2.0.co;2,2022-03-30,0043-5643,1,2000-03,1-7,Wilson Ornithological Society,Crossref,Animal Science and Zoology,THE BREEDING RANGE OF THE BARROW'S GOLDENEYE IN EASTERN NORTH AMERICA,journal-article,http://dx.doi.org/10.1676/0043-5643(2000)112[0001:tbrotb]2.0.co;2,The Wilson Bulletin,en
The Auk,2006-07-12,2019-01-11,2002,10.1642/0004-8038(2002)119[0676:rabmaw]2.0.co;2,2023-01-16,0004-8038,3,2002,676,American Ornithologists' Union,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","RELATIONSHIP AMONG BREEDING, MOLTING, AND WINTERING AREAS OF MALE BARROW'S GOLDENEYES (BUCEPHALA ISLANDICA) IN EASTERN NORTH AMERICA",journal-article,http://dx.doi.org/10.1642/0004-8038(2002)119[0676:rabmaw]2.0.co;2,Auk,en
Molecular Ecology Resources,2009-02-12,2021-07-06,2009-05,10.1111/j.1755-0998.2008.02225.x,2022-03-29,"1755-098X,1755-0998",3,2009-05,806-808,Wiley,Crossref,"Genetics,Ecology, Evolution, Behavior and Systematics,Biotechnology",Isolation and characterization of 22 polymorphic microsatellite loci for the Barrow's goldeneye (<i>Bucephala islandica</i>),journal-article,http://dx.doi.org/10.1111/j.1755-0998.2008.02225.x,NA,en
The Journal of Wildlife Management,2013-01-15,2021-07-05,2013-05,10.1002/jwmg.507,2022-04-02,0022-541X,4,2013-01-15,701-706,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",Survival of Barrow's goldeneyes during remigial molt and fall staging,journal-article,http://dx.doi.org/10.1002/jwmg.507,The Journal of Wildlife Management,en
Molecular Ecology,2011-09-16,2021-12-05,2011-12,10.1111/j.1365-294x.2011.05281.x,2022-07-20,0962-1083,24,2011-09-16,5328-5336,Wiley,Crossref,"Genetics,Ecology, Evolution, Behavior and Systematics",Differential responses to related hosts by nesting and non-nesting parasites in a brood-parasitic duck,journal-article,http://dx.doi.org/10.1111/j.1365-294x.2011.05281.x,NA,en
Waterbirds: The International Journal of Waterbird Biology,2006-05-07,2018-04-18,2000,10.2307/1522179,2022-10-15,1524-4695,3,2000,423,JSTOR,Crossref,Animal Science and Zoology,"Densities of Barrow's Goldeneyes during Winter in Prince William Sound, Alaska in Relation to Habitat, Food and History of Oil Contamination",journal-article,http://dx.doi.org/10.2307/1522179,Waterbirds: The International Journal of Waterbird Biology,NA
The Wilson Journal of Ornithology,2008-05-21,2019-05-11,2008-06,10.1676/07-009.1,2022-04-03,"1559-4491,1938-5447",2,2008-06,320-330,Wilson Ornithological Society,Crossref,"Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics",Habitat Features Associated With Barrow's Goldeneye Breeding In Eastern Canada,journal-article,http://dx.doi.org/10.1676/07-009.1,The Wilson Journal of Ornithology,en
Waterbirds,2011-10-21,2019-06-18,2011-09,10.1675/063.034.0301,2022-03-29,"1524-4695,1938-5390",3,2011-09,261-388,Waterbird Society,Crossref,Animal Science and Zoology,Discovery of Important Postbreeding Sites for Barrow's Goldeneye in the Boreal Transition Zone of Alberta,journal-article,http://dx.doi.org/10.1675/063.034.0301,Waterbirds,en
Canadian Journal of Zoology,2009-04-14,2021-10-04,2009-04,10.1139/z09-018,2022-03-31,"0008-4301,1480-3283",4,2009-04,337-345,Canadian Science Publishing,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","Apparent survival, natal philopatry, and recruitment of Barrow’s goldeneyes (Bucephala islandica) in the Cariboo–Chilcotin region of British Columbia, Canada",journal-article,http://dx.doi.org/10.1139/z09-018,Can. J. Zool.,en
The Condor,2019-09-06,2019-09-06,2000-02-01,10.1093/condor/102.1.228,2022-03-31,"0010-5422,1938-5129",1,2000-02-01,228-231,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Body Weight and Feather Growth of Male Barrow's Goldeneye During Wing Molt,journal-article,http://dx.doi.org/10.1093/condor/102.1.228,NA,en
Waterbirds,2014-02-20,2019-08-07,2013-03,10.1675/063.036.0107,2022-04-04,"1524-4695,1938-5390",1,2013-03,34-42,Waterbird Society,Crossref,Animal Science and Zoology,"Relationships among Breeding, Molting and Wintering Areas of Adult Female Barrow's Goldeneyes (<i>Bucephala islandica</i>) in Eastern North America",journal-article,http://dx.doi.org/10.1675/063.036.0107,Waterbirds,en
The Auk,2013-06-04,2022-02-24,2013-04,10.1525/auk.2013.12048,2022-04-02,"0004-8038,1938-4254",2,2013-04,313-322,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Variation in body mass and foraging effort of Barrow’s Goldeneyes (<i>Bucephala islandica</i>) during remigial molt,journal-article,http://dx.doi.org/10.1525/auk.2013.12048,The Auk,en
Avian Conservation and Ecology,2017-01-11,2017-01-11,NA,10.5751/ace-00295-040106,2022-04-20,1712-6568,1,2009,NA,"Resilience Alliance, Inc.",Crossref,"Nature and Landscape Conservation,Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics","Origin and Availability of Large Cavities for Barrow&amp;#8217;s Goldeneye (Bucephala islandica), a Species at Risk Inhabiting the Eastern Canadian Boreal Forest",journal-article,http://dx.doi.org/10.5751/ace-00295-040106,ACE,en
Ethology,2012-12-14,2021-07-04,2013-02,10.1111/eth.12048,2023-01-26,0179-1613,2,2012-12-13,146-155,Wiley,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Facultative Sex Allocation and Sex-Specific Offspring Survival in Barrow's Goldeneyes,journal-article,http://dx.doi.org/10.1111/eth.12048,Ethology,en
NA,2006-11-02,2011-11-07,NA,10.1522/24733140,2022-03-31,NA,NA,2006,NA,Université du Québec à Chicoutimi,Crossref,NA,Comparaison des communautés d'invertébrés entre des lacs avec et sans omble de fontaine (Salvelinus fontinalis) /,monograph,http://dx.doi.org/10.1522/24733140,NA,NA
The Condor,2013-12-10,2019-08-04,2013-11,10.1525/cond.2013.120175,2022-03-29,"0010-5422,1938-5129",4,2013-11,762-768,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Duration and Phenology of Remigial Molt of Barrow's Goldeneye,journal-article,http://dx.doi.org/10.1525/cond.2013.120175,The Condor,en
PLOS ONE,2022-12-30,2022-12-30,NA,10.1371/journal.pone.0277820,2022-12-31,1932-6203,12,2022-12-30,e0277820,Public Library of Science (PLoS),Crossref,Multidisciplinary,Quantifying the relative contributions of habitat modification and mammalian predators on landscape-scale declines of a threatened river specialist duck,journal-article,http://dx.doi.org/10.1371/journal.pone.0277820,PLoS ONE,en
Zoology and Ecology,2022-12-22,2022-12-22,2022,10.35513/21658005.2022.2.2,2022-12-23,"2165-8013,2165-8005",NA,2022,101-112,Nature Research Centre -NRC,Crossref,"Animal Science and Zoology,Ecology",Urban landscapes are richer in bird species when compared to farming lands: evidence from Morocco (Northwest Africa),journal-article,http://dx.doi.org/10.35513/21658005.2022.2.2,NA,NA
Microbial Science Archives,2023-01-06,2023-01-06,2022,10.47587/msa.2022.2401,2023-01-07,2583-1666,04,2022,34-41,Science Archives,Crossref,NA,Spread of Trichomonas gallinae in species of birds in balad district with the effect of infection on histological picture,journal-article,http://dx.doi.org/10.47587/msa.2022.2401,MSA,NA
Parasitology,2022-12-19,2023-02-03,2023-02,10.1017/s0031182022001652,2023-02-03,"0031-1820,1469-8161",2,2022-12-19,206-211,Cambridge University Press (CUP),Crossref,"Infectious Diseases,Animal Science and Zoology,Parasitology",Evidence for strain-specific virulence of <i>Trichomonas gallinae</i> in African columbiformes,journal-article,http://dx.doi.org/10.1017/s0031182022001652,Parasitology,en
Science of The Total Environment,2023-01-11,2023-02-02,2023-04,10.1016/j.scitotenv.2022.161192,2023-02-03,0048-9697,NA,2023-04,161192,Elsevier BV,Crossref,"Pollution,Waste Management and Disposal,Environmental Chemistry,Environmental Engineering","Age ratio, crippling losses and factors affecting daily hunting bags of European Turtle-dove in Spain: Implications for sustainable harvest management of a declining migratory species",journal-article,http://dx.doi.org/10.1016/j.scitotenv.2022.161192,Science of The Total Environment,en
Acta Ornithologica,2014-02-22,2019-08-07,2013-06,10.3161/000164513x678801,2022-12-16,"0001-6454,1734-8471",2,2013-06,211-219,Museum and Institute of Zoology at the Polish Academy of Sciences,Crossref,Animal Science and Zoology,"Survival of a Mountaintop Hummingbird, the Hyacinth Visorbearer<i>Augastes scutatus</i>, in Southeastern Brazil",journal-article,http://dx.doi.org/10.3161/000164513x678801,Acta Ornithologica,en
The Wilson Journal of Ornithology,2011-12-03,2019-06-20,2011-12,10.1676/11-042.1,2022-04-05,"1559-4491,1938-5447",4,2011-12,726-733,Wilson Ornithological Society,Crossref,"Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics","Size Dimorphism, Juvenal Plumage, and Timing of Breeding of the Hyacinth Visorbearer (Augastes scutatus)",journal-article,http://dx.doi.org/10.1676/11-042.1,The Wilson Journal of Ornithology,en
Waterbirds,2023-02-08,2023-02-08,2023-02-08,10.1675/063.045.0206,2023-02-09,1524-4695,2,2023-02-08,NA,Waterbird Society,Crossref,Animal Science and Zoology,eDNA Metabarcoding Analyses of Diet in Yellow-Billed Loons of Northern Alaska,journal-article,http://dx.doi.org/10.1675/063.045.0206,Waterbirds,NA
"Ecophysiology of Desert Birds,Adaptations of Desert Organisms",2013-11-29,2013-11-29,1996,10.1007/978-3-642-60981-7_3,2022-03-31,1430-9432,NA,1996,21-34,Springer Berlin Heidelberg,Crossref,NA,Food and Energy,book-chapter,http://dx.doi.org/10.1007/978-3-642-60981-7_3,NA,NA
Canadian Journal of Forest Research,2009-12-23,2020-01-06,2009-12,10.1139/x09-138,2022-03-29,"0045-5067,1208-6037",12,2009-12,2319-2331,Canadian Science Publishing,Crossref,"Ecology,Forestry,Global and Planetary Change",Characteristics and densities of Williamson’s Sapsucker  nest trees in British Columbia,journal-article,http://dx.doi.org/10.1139/x09-138,Can. J. For. Res.,en
The Condor,2018-08-01,2019-10-21,2018-08,10.1650/condor-17-238.1,2023-02-09,"0010-5422,1938-5129",3,2018-08,680-702,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Foraging ecology of the Williamson's Sapsucker: Implications for forest management,journal-article,http://dx.doi.org/10.1650/condor-17-238.1,The Condor,en
Canadian Journal of Forest Research,2014-03-04,2020-08-16,2014-06,10.1139/cjfr-2013-0380,2022-04-02,"0045-5067,1208-6037",6,2014-06,628-637,Canadian Science Publishing,Crossref,"Ecology,Forestry,Global and Planetary Change",Dietary dependence of Williamson’s Sapsucker nestlings on ants associated with dead and decaying wood in British Columbia,journal-article,http://dx.doi.org/10.1139/cjfr-2013-0380,Can. J. For. Res.,en
PLOS ONE,2015-07-15,2019-08-28,NA,10.1371/journal.pone.0130849,2022-04-02,1932-6203,7,2015-07-15,e0130849,Public Library of Science (PLoS),Crossref,Multidisciplinary,Using Field Data and GIS-Derived Variables to Model Occurrence of Williamson’s Sapsucker Nesting Habitat at Multiple Spatial Scales,journal-article,http://dx.doi.org/10.1371/journal.pone.0130849,PLoS ONE,en
Journal of Field Ornithology,2009-11-25,2022-02-21,2009-12,10.1111/j.1557-9263.2009.00238.x,2022-09-15,"0273-8570,1557-9263",4,2009-12,328-335,"Resilience Alliance, Inc.",Crossref,"Ecology, Evolution, Behavior and Systematics",Birds and army ants in a fragment of the Atlantic Forest of Brazil,journal-article,http://dx.doi.org/10.1111/j.1557-9263.2009.00238.x,NA,en
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.73334,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Mimus trifasciatus (Floreana mockingbird),journal-article,http://dx.doi.org/10.1079/cabicompendium.73334,CABI Compendium,en
International Journal of Zoology and Animal Biology,2023-02-08,2023-02-08,NA,10.23880/izab-16000s1-006,2023-02-09,2639-216X,S1,2022,1-3,Medwin Publishers,Crossref,General Medicine,First Record of Hooded Wheatear Oenanthe monacha in Lebanon 2021,journal-article,http://dx.doi.org/10.23880/izab-16000s1-006,IZAB,NA
Botanica Pacifica,2022-10-18,2022-10-18,2022,10.17581/bp.2022.11209,2022-10-19,"2226-4701,2410-3713",NA,2022,NA,Botanical Garden - Institute of the Far Eastern Branch of the RAS,Crossref,"Plant Science,Ecology,Ecology, Evolution, Behavior and Systematics",New and rare species of jelly cyanolichens for Asia and the Russian Far East,journal-article,http://dx.doi.org/10.17581/bp.2022.11209,Bot Pac,NA
Agroecological journal,2022-12-29,2022-12-29,NA,10.33730/2077-4893.2.2022.263319,2022-12-30,"2077-4915,2077-4893",2,2022-09-14,64-73,Institute of Agroecology and Environmental Management NAAN,Crossref,Pollution,Economic and biological classification of subtropic fruit crops collection in Khorol botanical garden,journal-article,http://dx.doi.org/10.33730/2077-4893.2.2022.263319,agro,NA
Frontiers in Marine Science,2022-12-16,2022-12-16,NA,10.3389/fmars.2022.893260,2022-12-17,2296-7745,NA,2022-12-16,NA,Frontiers Media SA,Crossref,"Ocean Engineering,Water Science and Technology,Aquatic Science,Global and Planetary Change,Oceanography",Assessing the effects of no-take zones in a marine protected area spanning two ecoregions and rock substrate types,journal-article,http://dx.doi.org/10.3389/fmars.2022.893260,Front. Mar. Sci.,NA
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.83611,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Emberiza hortulana,journal-article,http://dx.doi.org/10.1079/cabicompendium.83611,CABI Compendium,en
Huitzil Revista Mexicana de Ornitología,2022-10-10,2022-10-10,NA,10.28947/hrmo.2021.22.2.544,2022-10-10,1870-7459,2,2022-02-09,e621,Sociedad para el Estudio y Conservacion de las Aves en Mexico A.C.,Crossref,"Energy Engineering and Power Technology,Fuel Technology","Anotaciones sobre el nido del chipe de cabeza rosada (Cardellina versicolor), con observaciones de comportamiento parental",journal-article,http://dx.doi.org/10.28947/hrmo.2021.22.2.544,Huitzil Rev. Mex. Ornitol.,NA
The Journal of the Acoustical Society of America,2002-07-26,2016-12-25,1998-04,10.1121/1.421364,2023-02-12,0001-4966,4,1998-04,2185-2196,Acoustical Society of America (ASA),Crossref,"Acoustics and Ultrasonics,Arts and Humanities (miscellaneous)",Automated recognition of bird song elements from continuous recordings using dynamic time warping and hidden Markov models: A comparative study,journal-article,http://dx.doi.org/10.1121/1.421364,The Journal of the Acoustical Society of America,en
The Journal of the Acoustical Society of America,2005-10-17,2016-12-29,1996-08,10.1121/1.415968,2023-02-12,0001-4966,2,1996-08,1209-1219,Acoustical Society of America (ASA),Crossref,"Acoustics and Ultrasonics,Arts and Humanities (miscellaneous)",Template‐based automatic recognition of birdsong syllables from continuous recordings,journal-article,http://dx.doi.org/10.1121/1.415968,The Journal of the Acoustical Society of America,en
Ecology,2007-06-04,2019-04-28,2005-06,10.1890/04-0913,2022-10-12,0012-9658,6,2005-06,1422-1431,Wiley,Crossref,"Ecology, Evolution, Behavior and Systematics",THE EFFECTS OF PATCH SHAPE ON INDIGO BUNTINGS: EVIDENCE FOR AN ECOLOGICAL TRAP,journal-article,http://dx.doi.org/10.1890/04-0913,Ecology,en
Conservation Biology,2003-03-11,2021-02-09,1997-08-12,10.1046/j.1523-1739.1997.96063.x,2022-10-12,"0888-8892,1523-1739",4,1997-08-12,928-935,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",Nesting Success of a Disturbance-Dependent Songbird on Different Kinds of Edges. Exito de Nidacion de un Ave Paserina Dependiente de Disturbaciones en Diferentes Tipos de Bordes,journal-article,http://dx.doi.org/10.1046/j.1523-1739.1997.96063.x,Conservation Biology,en
Journal of Wildlife Management,2007-08-07,2017-03-31,2007-08,10.2193/2006-070,2023-02-16,"0022-541X,1937-2817",6,2007-08,1906-1916,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics,Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics",Short-Term Effects of Fire and Other Fuel Reduction Treatments on Breeding Birds in a Southern Appalachian Upland Hardwood Forest,journal-article,http://dx.doi.org/10.2193/2006-070,Journal of Wildlife Management,en
The Condor,2007-01-23,2019-04-23,1998-05,10.2307/1370273,2022-12-22,"0010-5422,1938-5129",2,1998-05,326-334,Oxford University Press (OUP),Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Effects of Cowbird Parasitism on Parental Provisioning and Nestling Food Acquisition and Growth,journal-article,http://dx.doi.org/10.2307/1370273,The Condor,NA
